COD_PERSONOR|COD_PERSONDE|IDW_CANAL|COD_TRANSAC|FEC_OPER|HMS_OPER|IMP_IMPOPER
28497125||14|FN51|01/09/2019|121922|10
22048213||14|FN77|01/09/2019|122411|600
22048213||14|FN77|01/09/2019|122213|900
20876439||14|FN51|01/09/2019|075822|140
27333289||14|FN8A|01/09/2019|122001|10
22048213||14|FN77|01/09/2019|122314|900
20712156||14|FN77|01/09/2019|074901|29.9
01970445||15|BQ13|01/09/2019|121924|500
07649576||14|FN51|01/09/2019|075325|600
23769131||14|FN8A|01/09/2019|121949|5
25905068||14|FN77|01/09/2019|121757|29.9
24805272||14|FN51|01/09/2019|083659|557.5
26426934||14|FN61|01/09/2019|122104|50
27668991||14|FN51|01/09/2019|121848|5
21796726||14|FN77|01/09/2019|083437|39.9
28456634||14|FN51|01/09/2019|121344|300
26878883||14|FN51|01/09/2019|121604|459
21239138||14|FN77|01/09/2019|083317|29.9
24701697||14|FN77|01/09/2019|083059|230
21796726||14|FN77|01/09/2019|083911|29.9
21275567||14|FN51|01/09/2019|083150|200
25819847||15|RCA4|01/09/2019|083716|2275
21554481||14|FN51|01/09/2019|083341|168
25093365||15|KB50|01/09/2019|083304|20
24406296||14|FEM1|01/09/2019|121708|120
24943015||14|FN77|01/09/2019|083841|374
24805272||14|FN51|01/09/2019|083601|1120
28099586||14|FN51|01/09/2019|121452|800
24818058||14|FN51|01/09/2019|121517|100
27794653||14|FN77|01/09/2019|121435|17.1
22377923||14|FN51|01/09/2019|085452|254.62
22031159||14|FN51|01/09/2019|121447|100
20928131||14|FN83|01/09/2019|121202|219.3
26924239||14|FN77|01/09/2019|121648|29.9
10416477||14|FN51|01/09/2019|121623|250
25621869||14|FN83|01/09/2019|085807|85.9
24183888||14|FN77|01/09/2019|121322|1000
26780221||15|RCA4|01/09/2019|085214|382.6
27782138||15|MPIT|01/09/2019|083132|3500
26762723||14|FEM1|01/09/2019|121227|200
27043375||14|FN51|01/09/2019|085910|35
27108533||14|FN51|01/09/2019|121005|147.42
22614409||14|FN51|01/09/2019|120601|626
28461424||14|FN51|01/09/2019|090103|150
27588850||14|FN77|01/09/2019|085244|194.8
28260551||14|FN50|01/09/2019|090003|100
24438706||15|RCA4|01/09/2019|120443|50
24978221||14|FN77|01/09/2019|085358|363.2
23994457||14|FX70|01/09/2019|085445|200
23657389||14|FN77|01/09/2019|090021|10
23390384||14|FN51|01/09/2019|085712|20
22868296||14|FN77|01/09/2019|085840|49.9
22154420||14|FN50|01/09/2019|085349|3000
24609044||14|FN9A|01/09/2019|085151|10
03158861||14|FN51|01/09/2019|120817|250
21264347||14|FN51|01/09/2019|121024|140
26263162||14|FN51|01/09/2019|120653|1650
26331425||14|FEM7|01/09/2019|120717|40
28049711||14|FN77|01/09/2019|084216|49.89
26849640||14|FX70|01/09/2019|084138|700
23674099||14|FN9A|01/09/2019|084158|3
20842746||14|FN51|01/09/2019|084752|120
23186999||14|FN51|01/09/2019|122828|120
25986347||14|FN51|01/09/2019|122609|660
25934797||14|FN77|01/09/2019|122607|20
28197474||14|FN77|01/09/2019|122633|150
20895537||14|FN51|01/09/2019|122912|70
27455873||14|FN51|01/09/2019|122759|400
21819652||14|FN83|01/09/2019|123014|41.2
21819652||14|FN77|01/09/2019|122610|195.89
25986347||14|FN51|01/09/2019|123002|556
25450228||14|FN77|01/09/2019|122829|945
26874097||14|FN51|01/09/2019|123007|15
27530339||14|FN77|01/09/2019|124134|15
24935356||14|FN51|01/09/2019|124216|200
27763425||14|FN51|01/09/2019|122711|3920
27455873||14|FN51|01/09/2019|122642|300
11532179||14|FN51|01/09/2019|124153|200
22962419||14|FN51|01/09/2019|123748|1200
26913973||14|FN85|01/09/2019|123944|10.39
27957135||14|FN77|01/09/2019|123848|5
27530339||14|FN77|01/09/2019|124051|15
21244983||14|FN50|01/09/2019|123833|132.1
24902647||14|FN50|01/09/2019|123712|2200
23711216||14|FN51|01/09/2019|124152|1000
27132525||14|FN51|01/09/2019|124202|260
24896698||14|FN83|01/09/2019|123519|110
26913973||14|FN85|01/09/2019|123920|348.92
21365321||15|BQ13|01/09/2019|123321|150
06433600||14|FN85|01/09/2019|123157|1195.06
22646682||14|FN51|01/09/2019|123635|500
28175338||14|FN51|01/09/2019|123517|30
21717304||14|FN51|01/09/2019|123336|50
20689953||14|FN9A|01/09/2019|123226|30
28045727||14|FN77|01/09/2019|123225|431.5
24896698||14|FN83|01/09/2019|123628|140
24838890||14|FN85|01/09/2019|123645|15.41
24838890||14|FN85|01/09/2019|123621|185.87
25986347||14|FN51|01/09/2019|123118|700
22455356||15|MP7C|01/09/2019|124435|25
24078943||14|FN77|01/09/2019|134202|89
24078943||14|FN77|01/09/2019|134533|69.9
24078943||14|FN77|01/09/2019|134347|367
22412205||15|BQ13|01/09/2019|134311|50
24376595||14|FN51|01/09/2019|134406|140
21090844||15|F821|01/09/2019|134209|500
25522494||14|FN77|01/09/2019|134840|49.89
23112412||14|FN9A|01/09/2019|134338|5
20286412||14|FN77|01/09/2019|134253|163.5
24078943||14|FN77|01/09/2019|134804|29.9
26490517||14|FN51|01/09/2019|134542|.27
23846909||14|FN77|01/09/2019|134128|99.9
25966007||14|FN8A|01/09/2019|133708|5
20161013||14|FN51|01/09/2019|133613|200
21544401||15|BQ13|01/09/2019|133851|30
24240899||15|RCA4|01/09/2019|133702|2000
25863839||14|FN50|01/09/2019|133722|370
24376595||15|MPIT|01/09/2019|134026|210
27273453||14|FN9A|01/09/2019|133256|5
27586600||14|FN51|01/09/2019|133920|550
27392756||14|FN77|01/09/2019|133105|15
23063766||14|FN50|01/09/2019|133339|1300
26808303||15|RCA4|01/09/2019|133131|4650
25404767||14|FN77|01/09/2019|132938|29.9
20043644||14|FN77|01/09/2019|133209|588.5
23220723||14|FEM7|01/09/2019|135003|80
00277509||14|FN51|01/09/2019|133013|200
23566635||14|FN8A|01/09/2019|133014|5
25829486||14|FN51|01/09/2019|133423|100
28229233||14|FN51|01/09/2019|134954|400
25992299||14|FN9A|01/09/2019|135223|5
20849829||14|FN77|01/09/2019|135616|498.77
25276696||14|FN77|01/09/2019|135333|100
28106531||14|FN77|01/09/2019|135404|36.5
23502737||14|FN51|01/09/2019|135103|290
20286412||14|FN77|01/09/2019|135552|275.85
27507741||14|FN51|01/09/2019|135202|100
26373618||14|FN77|01/09/2019|135535|141.75
27206960||14|FN51|01/09/2019|135113|200
21978136||14|FN51|01/09/2019|135144|36
21370310||14|FN51|01/09/2019|140855|200
26028220||14|FN9A|01/09/2019|135414|5
26028220||14|FN9A|01/09/2019|135239|5
23044634||14|FN51|01/09/2019|135012|170
20598095||14|FN77|01/09/2019|135107|30.86
23220723||14|FN50|01/09/2019|134925|60
24063159||14|FN77|01/09/2019|140831|69.89
23203622||15|BQ13|01/09/2019|140545|500
22176696||14|FN50|01/09/2019|140436|50
26935666||14|FN51|01/09/2019|140448|100
26510870||14|FEM7|01/09/2019|140601|60
26871212||14|FN85|01/09/2019|140816|797.2
14076336||15|F821|01/09/2019|140023|89
21365516||14|FN51|01/09/2019|140012|110
25093723||14|FN50|01/09/2019|135717|100
23203622||15|RCA4|01/09/2019|140217|89.8
23960230||14|FN51|01/09/2019|135643|1000
24016182||14|FEM7|01/09/2019|140341|200
26382742||15|KB21|01/09/2019|135802|38
27507741||14|FN77|01/09/2019|135735|79.9
27301901||15|BQ13|01/09/2019|135721|4.5
23203622||15|RCA4|01/09/2019|140120|89.8
21696838||14|FN83|01/09/2019|135727|175.8
23975067||14|FN9A|01/09/2019|135808|3
27621561||14|FN51|01/09/2019|135830|2200
25093723||14|FN50|01/09/2019|135737|100
28106531||14|FN77|01/09/2019|135912|35
27507741||14|FN77|01/09/2019|135859|115.68
20510425||14|FN51|01/09/2019|141237|1700
28435134||14|FN77|01/09/2019|230052|30.9
27267629||14|FN77|01/09/2019|230902|1585.83
27722353||14|FN51|01/09/2019|201329|413
23726324||14|FN51|01/09/2019|201151|300
25316699||14|FN77|01/09/2019|201038|275
26759023||14|FN50|01/09/2019|201204|100
24040632||14|FN77|01/09/2019|201011|200
24324403||14|FN51|01/09/2019|201634|1250
26866119||14|FN50|01/09/2019|201039|649
24181693||14|FN83|01/09/2019|201058|100.9
22338873||14|FN51|01/09/2019|201547|295
26759023||14|FN77|01/09/2019|201302|128.17
23560105||14|FN51|01/09/2019|201315|300
25382932||14|FEM7|01/09/2019|202108|300
27090054||14|FEM7|01/09/2019|202302|40
25316699||14|FN77|01/09/2019|201742|30.9
20906173||14|FN50|01/09/2019|201948|1260
21953920||14|FN83|01/09/2019|201824|195
20074275||15|F822|01/09/2019|223404|670
24406239||14|FN51|01/09/2019|222948|65
23144159||14|FN77|01/09/2019|223421|300.5
24087277||14|FN8A|01/09/2019|223521|10
20074275||15|F822|01/09/2019|223649|966.06
27315874||14|FN51|01/09/2019|223622|2600
24484099||14|FN51|01/09/2019|223117|29
21737060||14|FN51|01/09/2019|223649|100
25539504||14|FN77|01/09/2019|223849|29.89
27778539||14|FN51|01/09/2019|222246|500
24479914||14|FN51|01/09/2019|222218|500
25102794||14|FN51|01/09/2019|222416|1120
27379756||14|FN51|01/09/2019|222052|37
12052898||14|FN77|01/09/2019|222245|1604.33
22440272||14|FN51|01/09/2019|222827|95
20874749||14|FN51|01/09/2019|222321|400
27166493||14|FN8A|01/09/2019|221915|5
26983433||15|BQ13|01/09/2019|221541|1300
22346925||14|FN77|01/09/2019|221602|1030.5
26366213||14|FN51|01/09/2019|221942|400
25209840||14|FN51|01/09/2019|221420|40
20466603||14|FN51|01/09/2019|224753|3600
26938943||14|FX70|01/09/2019|224637|1600
25474216||15|RCA4|01/09/2019|224637|10
22494346||14|FN77|01/09/2019|224104|220.5
23742026||14|FN51|01/09/2019|224351|350
26050234||15|MPIT|01/09/2019|224751|50
21842309||14|FN51|01/09/2019|224520|300
20074275||15|F822|01/09/2019|224116|10.59
25539504||14|FN77|01/09/2019|224254|29.89
25539504||14|FN77|01/09/2019|224134|29.89
25539504||14|FN77|01/09/2019|224026|29.89
22494346||14|FN77|01/09/2019|224155|300.5
26400065||15|F821|01/09/2019|224540|3000
25539504||14|FN51|01/09/2019|224423|20
21382429||14|FN51|01/09/2019|224547|100
21259791||14|FN77|01/09/2019|084913|15
22494346||14|FN77|01/09/2019|224002|300.5
27273453||14|FN9A|01/09/2019|084512|5
22497465||14|FN83|01/09/2019|084717|51.4
28490217||14|FN51|01/09/2019|084132|2640
22591961||14|FN77|01/09/2019|090150|94.5
26970333||15|BQ13|01/09/2019|101828|610
26814919||14|FN77|01/09/2019|101435|29.9
23798543||14|FN9A|01/09/2019|101656|5
25560813||14|FN51|01/09/2019|101823|5000
26814919||14|FN51|01/09/2019|101342|500
26106036||14|FN8A|01/09/2019|101516|5
27741380||14|FN51|01/09/2019|101459|100
23074484||14|FN51|01/09/2019|101624|840
24273118||14|FN77|01/09/2019|101826|198.22
25455022||14|FN77|01/09/2019|100629|28.81
21692581||14|FN51|01/09/2019|101353|497
25811768||14|FEM7|01/09/2019|101156|20
28127626||14|FN8A|01/09/2019|101702|7
27746292||14|FN77|01/09/2019|102017|210.42
22239812||14|FN51|01/09/2019|100823|600
26814919||14|FN77|01/09/2019|101414|49.89
25444947||14|FN8A|01/09/2019|101221|5
25676642||14|FX70|01/09/2019|100932|1677
27593384||14|FX70|01/09/2019|100604|700
21197540||14|FN50|01/09/2019|101120|100
25811768||14|FN50|01/09/2019|101125|12.22
25983660||14|FN50|01/09/2019|100542|705
27807419||14|FN61|01/09/2019|100340|20
25455022||14|FN77|01/09/2019|100643|28.81
25455022||14|FN77|01/09/2019|100821|29.9
23604437||14|FN51|01/09/2019|101258|72.5
27593384||14|FN50|01/09/2019|100245|233
25343038||14|FN51|01/09/2019|101046|2800
28155242||14|FN8A|01/09/2019|100845|7
21692581||14|FN51|01/09/2019|101006|327
20463865||15|BQ15|01/09/2019|100344|1000
22440644||14|FN51|01/09/2019|100815|1200
25983660||14|FN50|01/09/2019|100703|60
01491431||15|BQ13|01/09/2019|100621|300
21815371||14|FN8A|01/09/2019|095755|5
27153544||14|FN51|01/09/2019|100525|100
27290994||14|FN77|01/09/2019|100350|6
23536350||14|FEM1|01/09/2019|100431|20
23433211||14|FN51|01/09/2019|095913|200
21692581||14|FN51|01/09/2019|100450|250
25455022||14|FN77|01/09/2019|100444|48.08
25983660||14|FN77|01/09/2019|100317|4070.4
27290994||14|FN77|01/09/2019|100443|45.9
23545933||14|FN77|01/09/2019|095813|82
25162549||14|FN77|01/09/2019|102040|5000
27593384||14|FN77|01/09/2019|100318|233.04
23850378||15|BQ13|01/09/2019|102119|300
26497118||14|FN77|01/09/2019|102222|64.99
04250010||14|FN51|01/09/2019|102702|10000
24592440||14|FN51|01/09/2019|102508|150
23074484||14|FN77|01/09/2019|102615|289.17
24592440||14|FN9A|01/09/2019|102642|5
22614586||14|FN51|01/09/2019|102107|2375
27789920||14|FN77|01/09/2019|102107|29.9
27855710||14|FN9A|01/09/2019|102151|5
26017210||14|FN51|01/09/2019|102711|200
10453305||14|FN77|01/09/2019|104006|49.89
20903453||14|FN51|01/09/2019|103559|50
24112147||14|FN50|01/09/2019|103518|25
21687231||14|FN77|01/09/2019|103619|29.9
22902622||14|FN51|01/09/2019|104019|3000
27376098||14|FN51|01/09/2019|103647|110
27079225||15|REA5|01/09/2019|103711|5
25141109||15|BQ13|01/09/2019|103713|100
27267213||14|FEM1|01/09/2019|103614|500
22306045||14|FN51|01/09/2019|104115|2000
27495072||14|FN77|01/09/2019|104037|2268
27564986||14|FN83|01/09/2019|103835|81.3
27564986||14|FN50|01/09/2019|103655|934
21393020||14|FN77|01/09/2019|103232|800
23171199||14|FN51|01/09/2019|103241|3300
20510425||14|FEM7|01/09/2019|103413|100
26226243||14|FN8A|01/09/2019|103403|10
00519391||14|FN51|01/09/2019|103224|4000
22838579||14|FN77|01/09/2019|102755|69.9
28238703||14|FN77|01/09/2019|102912|1000.45
10453305||14|FN77|01/09/2019|103207|49.89
22402548||14|FN51|01/09/2019|102759|2000
26728437||14|FN77|01/09/2019|104237|29.9
27658066||14|FN8A|01/09/2019|113935|5
23138405||14|FN77|01/09/2019|114254|172.85
11708366||14|FN51|01/09/2019|114205|360
28162165||14|FN77|01/09/2019|114153|55.68
26526895||14|FN51|01/09/2019|114256|160
25501355||14|FN77|01/09/2019|113631|400
27672510||14|FN77|01/09/2019|113530|29.83
27759163||14|FN83|01/09/2019|113432|105.3
25799588||14|FN51|01/09/2019|113403|400
27180875||14|FN77|01/09/2019|113653|29.9
26577475||14|FN8A|01/09/2019|113244|5
23655810||14|FN51|01/09/2019|113139|1500
28477131||14|FN51|01/09/2019|113145|8220
26577475||14|FN8A|01/09/2019|113320|5
21829531||14|FN51|01/09/2019|113017|300
25088068||14|FN77|01/09/2019|113725|10
23505952||14|FN77|01/09/2019|113400|50.9
27344399||14|FN77|01/09/2019|112858|56.5
26577475||14|FN9A|01/09/2019|113343|5
22365676||14|FN51|01/09/2019|112847|900
25262913||14|FN51|01/09/2019|112859|120
21170099||14|FN51|01/09/2019|113258|1660
23450857||14|FN51|01/09/2019|113458|500
27302578||15|REAI|01/09/2019|113123|29.9
22577268||14|FN77|01/09/2019|112957|60.9
27022835||14|FN51|01/09/2019|112708|100
22678828||14|FN51|01/09/2019|112620|200
23171199||14|FN77|01/09/2019|112931|1224.56
24725126||14|FN50|01/09/2019|112840|9.03
28342056||14|FN77|01/09/2019|112756|65
25300763||14|FN77|01/09/2019|112933|49.9
26878883||14|FN51|01/09/2019|113113|3499
24725126||14|FN51|01/09/2019|112705|575
22022839||14|FN9A|01/09/2019|114745|5
21862975||14|FN9A|01/09/2019|114708|5
23138405||14|FN77|01/09/2019|114518|89.85
24193315||14|FN51|01/09/2019|114605|110.5
21862975||14|FN9A|01/09/2019|114905|5
22323222||14|FEM1|01/09/2019|114951|500
24737992||14|FN51|01/09/2019|114921|200
23682459||14|FN77|01/09/2019|114936|20
21365321||15|RCA4|01/09/2019|114602|145
21850883||14|FN50|01/09/2019|114906|400
24096519||14|FN51|01/09/2019|114640|338
21162429||14|FN51|01/09/2019|114544|850
22614409||14|FN51|01/09/2019|120141|626
14721231||14|FN51|01/09/2019|114622|100
28069445||14|FN51|01/09/2019|115722|250
27302578||15|RCA4|01/09/2019|115704|20.9
27359192||14|FN50|01/09/2019|115011|1300
23815498||14|FN51|01/09/2019|120123|80
24033591||14|FN51|01/09/2019|174807|2874
22577268||14|FN51|01/09/2019|115741|166
26077104||14|FX70|01/09/2019|175126|945
20043218||15|RCA4|01/09/2019|120239|90
22741626||14|FN77|01/09/2019|115743|65.9
25895502||14|FN77|01/09/2019|115805|935
23005493||14|FN51|01/09/2019|115938|280
26541257||14|FN51|01/09/2019|115944|500
28360598||14|FN8A|01/09/2019|115917|5
24371998||15|MP7C|01/09/2019|175217|150
23601535||14|FN51|01/09/2019|120247|30
25934797||14|FN77|01/09/2019|115309|25
22577268||14|FN51|01/09/2019|115315|166
28374240||14|FN77|01/09/2019|174518|3000
23185837||14|FN8A|01/09/2019|174434|5
28203188||14|FN83|01/09/2019|174337|69.9
20060954||14|FN51|01/09/2019|174203|590
20083705||14|FN77|01/09/2019|115053|468.7
23005493||14|FN77|01/09/2019|174549|640
23185837||14|FN8A|01/09/2019|174035|10
22591961||14|FN77|01/09/2019|174115|94.5
28384497||14|FN51|01/09/2019|173842|296
27212546||14|FEM7|01/09/2019|174320|140
22741626||14|FN77|01/09/2019|115609|59.42
23884344||14|FN77|01/09/2019|120437|570.5
24498356||14|FN83|01/09/2019|120310|29.9
22424626||14|FN51|01/09/2019|173618|700
21090844||15|BQ15|01/09/2019|115643|200
26597732||14|FN51|01/09/2019|125954|100
27637098||14|FN77|01/09/2019|120326|20.93
21299854||14|FN51|01/09/2019|125910|500
24689095||14|FN51|01/09/2019|130317|200
24056822||15|RCA4|01/09/2019|173401|1002.71
24953958||14|FEM7|01/09/2019|130154|500
20522232||14|FN51|01/09/2019|130207|809.1
26218070||14|FN51|01/09/2019|125918|300
28287373||14|FN51|01/09/2019|130446|1530
22424626||14|FN51|01/09/2019|173245|650
22923327||14|FN9A|01/09/2019|175719|5
24781160||14|FX71|01/09/2019|130435|304
05928540||14|FN50|01/09/2019|130105|1000
26883187||14|FN51|01/09/2019|125323|50
22079625||14|FN51|01/09/2019|175621|13
27495072||14|FN77|01/09/2019|125324|1323
26627110||14|FN51|01/09/2019|125712|1576
23218447||14|FN50|01/09/2019|175529|2200
27180875||14|FN77|01/09/2019|125558|29.9
27156566||14|FN51|01/09/2019|125254|250
25162549||14|FN77|01/09/2019|125558|2000
28282735||14|FN77|01/09/2019|180006|760
24197115||14|FN85|01/09/2019|175457|899.75
27180875||14|FN77|01/09/2019|125624|29.9
28460196||15|BQ15|01/09/2019|124950|.77
27748315||14|FN85|01/09/2019|125340|300
24988218||15|BQ15|01/09/2019|181024|75
23028536||14|FN85|01/09/2019|124818|97.53
27690158||14|FN77|01/09/2019|181445|52
27156566||14|FN51|01/09/2019|124921|30
23640179||14|FX70|01/09/2019|180816|500
28384497||14|FN51|01/09/2019|125027|540
26970218||14|FN51|01/09/2019|181033|100
24740550||14|FN51|01/09/2019|181427|500
22570265||14|FEM1|01/09/2019|180844|20
22249099||14|FN83|01/09/2019|181213|155
28384497||14|FN51|01/09/2019|124548|378
25382932||14|FEM7|01/09/2019|180224|300
27811965||14|FN83|01/09/2019|181514|101.9
26874097||14|FN50|01/09/2019|124852|44.9
20344348||14|FN51|01/09/2019|124524|50
22239812||14|FN51|01/09/2019|181517|1000
28491562||14|FN9A|01/09/2019|180357|5
27194569||14|FN51|01/09/2019|180642|200
27290882||14|FN51|01/09/2019|180136|240
25768919||14|FN51|01/09/2019|180347|30
20757359||14|FN77|01/09/2019|180750|49.8
24839501||14|FN77|01/09/2019|180142|12.36
20466603||14|FN51|01/09/2019|180347|3000
24047453||14|FN51|01/09/2019|234014|60
28056823||14|FN77|01/09/2019|233300|200
27578626||14|FN77|01/09/2019|233210|573.51
26346007||14|FN77|01/09/2019|232906|10
22259372||14|FN77|01/09/2019|233644|90.9
24251058||14|FN85|01/09/2019|231722|125
25794133||14|FN77|01/09/2019|232116|79.9
22348647||14|FN51|01/09/2019|231803|95.5
26883187||14|FN77|01/09/2019|232431|46.5
27891473||14|FEM7|01/09/2019|231947|20
27318120||14|FN85|01/09/2019|232304|70
24251058||14|FN85|01/09/2019|232013|685.66
25097532||14|FN51|01/09/2019|231845|200
24251058||14|FN85|01/09/2019|231650|58.07
11778739||14|FN85|01/09/2019|234605|2970.54
23962910||14|FEM1|01/09/2019|231902|40
23355750||14|FN83|01/09/2019|234540|199
23035152||14|FN83|01/09/2019|234512|10
24251058||14|FN85|01/09/2019|231618|90.3
26851535||14|FN77|01/09/2019|230159|41.3
21969821||14|FN77|01/09/2019|230852|68.99
27064490||14|FN51|01/09/2019|230940|13
26417000||14|FN77|01/09/2019|230448|10
21995256||14|FN51|01/09/2019|230626|360
21365039||14|FN51|01/09/2019|225948|464
27212017||14|FN85|01/09/2019|225655|399.33
22695182||14|FEM1|01/09/2019|225128|120
26214344||14|FN50|01/09/2019|231230|9.54
24240899||15|RCA4|01/09/2019|231148|2500
21969821||14|FN85|01/09/2019|225501|222.74
27943007||14|FN77|01/09/2019|231241|15
26214344||14|FN51|01/09/2019|231401|18
27957135||14|FN9A|01/09/2019|231208|5
13677000||14|FN77|01/09/2019|231453|132
22474571||14|FN51|01/09/2019|183552|500
