customer_id|digital_affiliation_type|digital_affiliation_date|online_banking_affiliation_type|online_banking_affiliation_date|sms_affiliation_type|sms_affiliation_date|cutoff_date
77801654|SI|2017-04-02|SI|2017-04-02|SI|2013-06-26|2020-02-28
94623503|NO|9999-12-31|SI|2012-08-29|NO|9999-12-31|2020-02-28
94973565|NO|9999-12-31|SI|2013-06-10|NO|9999-12-31|2020-02-28
96890976|NO|9999-12-31|SI|2019-05-10|NO|9999-12-31|2020-02-28
65925539|SI|2017-04-02|SI|2017-04-02|SI|2013-09-21|2020-02-28
25557020|SI|2018-10-23|SI|2018-10-23|SI|2018-01-03|2020-02-28
03583744|SI|2019-01-14|SI|2019-01-14|SI|2017-05-16|2020-02-28
30255242|SI|2019-06-25|SI|2019-06-25|SI|2019-06-25|2020-02-28
57037900|NO|9999-12-31|SI|2013-02-01|NO|9999-12-31|2020-02-28
01623016|SI|2018-03-05|SI|2018-03-05|SI|2017-07-10|2020-02-28
11232624|NO|9999-12-31|SI|2017-11-29|NO|9999-12-31|2020-02-28
25396131|NO|9999-12-31|SI|2016-06-27|NO|9999-12-31|2020-02-28
98294683|SI|2019-01-14|SI|2019-01-14|SI|2019-01-14|2020-02-28
03399775|NO|9999-12-31|SI|2014-01-15|NO|9999-12-31|2020-02-28
35306147|NO|9999-12-31|SI|2013-06-22|NO|9999-12-31|2020-02-28
32804012|NO|9999-12-31|SI|2007-10-31|NO|9999-12-31|2020-02-28
89606555|NO|9999-12-31|SI|2015-10-28|NO|9999-12-31|2020-02-28
04568030|SI|2019-12-10|SI|2019-12-10|SI|2019-12-06|2020-02-28
04163623|SI|2016-08-12|SI|2016-08-12|SI|2016-08-12|2020-02-28
26012800|SI|2018-03-01|SI|2018-03-01|SI|2018-02-20|2020-02-28
06110674|NO|9999-12-31|SI|2013-10-17|NO|9999-12-31|2020-02-28
81167477|NO|9999-12-31|SI|2014-11-27|NO|9999-12-31|2020-02-28
33326768|SI|2019-01-19|SI|2018-05-09|SI|2019-01-19|2020-02-28
74759910|SI|2019-05-14|SI|2019-05-14|SI|2019-01-03|2020-02-28
45161775|NO|9999-12-31|SI|2019-06-14|NO|9999-12-31|2020-02-28
55872031|NO|9999-12-31|NO|9999-12-31|SI|2018-01-05|2020-02-28
13870303|SI|2016-06-16|SI|2016-06-16|SI|2016-05-09|2020-02-28
14970808|NO|9999-12-31|SI|2014-03-12|NO|9999-12-31|2020-02-28
93676163|NO|9999-12-31|SI|2014-07-26|NO|9999-12-31|2020-02-28
29878494|NO|9999-12-31|SI|2016-05-27|NO|9999-12-31|2020-02-28
44710188|NO|9999-12-31|SI|2016-10-08|NO|9999-12-31|2020-02-28
27876641|SI|2019-02-09|SI|2019-02-09|SI|2019-02-09|2020-02-28
87737487|NO|9999-12-31|SI|2015-08-06|NO|9999-12-31|2020-02-28
64933915|SI|2018-07-30|SI|2018-07-30|SI|2018-07-30|2020-02-28
42068018|NO|9999-12-31|SI|2014-11-29|NO|9999-12-31|2020-02-28
19683660|NO|9999-12-31|NO|9999-12-31|SI|2017-04-07|2020-02-28
96934098|NO|9999-12-31|NO|9999-12-31|SI|2017-09-20|2020-02-28
72745270|NO|9999-12-31|SI|2015-05-16|NO|9999-12-31|2020-02-28
37214123|SI|2014-12-12|SI|2014-12-12|SI|2013-06-13|2020-02-28
58079307|SI|2017-02-07|SI|2017-02-07|SI|2017-02-07|2020-02-28
29948831|NO|9999-12-31|SI|2014-08-12|NO|9999-12-31|2020-02-28
13124800|NO|9999-12-31|SI|2014-05-08|NO|9999-12-31|2020-02-28
25843837|SI|2018-12-31|SI|2018-12-31|SI|2016-05-03|2020-02-28
59307109|SI|2019-03-13|SI|2019-03-13|SI|2019-01-25|2020-02-28
42769457|SI|2018-12-27|SI|2018-12-27|SI|2018-12-27|2020-02-28
08335825|NO|9999-12-31|NO|9999-12-31|SI|2019-09-18|2020-02-28
58798754|NO|9999-12-31|SI|2019-06-01|NO|9999-12-31|2020-02-28
83337712|SI|2018-07-04|SI|2018-07-04|SI|2018-07-04|2020-02-28
70668064|NO|9999-12-31|SI|2019-02-18|NO|9999-12-31|2020-02-28
18630800|NO|9999-12-31|NO|9999-12-31|SI|2018-05-04|2020-02-28
93997197|SI|2016-06-11|SI|2016-06-11|SI|2013-12-26|2020-02-28
80428331|NO|9999-12-31|NO|9999-12-31|SI|2019-10-07|2020-02-28
05296468|NO|9999-12-31|SI|2015-12-26|NO|9999-12-31|2020-02-28
89284225|NO|9999-12-31|SI|2012-01-21|NO|9999-12-31|2020-02-28
78883308|NO|9999-12-31|NO|9999-12-31|SI|2016-04-15|2020-02-28
03006794|NO|9999-12-31|SI|2019-12-20|NO|9999-12-31|2020-02-28
67551290|NO|9999-12-31|SI|2016-06-24|NO|9999-12-31|2020-02-28
07580857|NO|9999-12-31|SI|2016-01-15|NO|9999-12-31|2020-02-28
75909787|SI|2019-04-27|SI|2019-04-27|SI|2019-04-27|2020-02-28
88732567|NO|9999-12-31|SI|2015-03-11|NO|9999-12-31|2020-02-28
80388218|NO|9999-12-31|SI|2016-11-03|NO|9999-12-31|2020-02-28
12753414|NO|9999-12-31|SI|2012-10-17|NO|9999-12-31|2020-02-28
19066578|NO|9999-12-31|SI|2016-02-01|NO|9999-12-31|2020-02-28
85364624|SI|2017-03-14|SI|2017-03-14|SI|2017-02-15|2020-02-28
21099989|SI|2018-06-14|SI|2018-06-14|SI|2018-06-13|2020-02-28
10114860|NO|9999-12-31|SI|2014-11-14|NO|9999-12-31|2020-02-28
38802330|NO|9999-12-31|SI|2018-10-10|NO|9999-12-31|2020-02-28
09120461|NO|9999-12-31|SI|2016-03-07|NO|9999-12-31|2020-02-28
98217951|NO|9999-12-31|NO|9999-12-31|SI|2018-04-24|2020-02-28
77183187|SI|2018-06-22|SI|2018-06-22|SI|2018-06-22|2020-02-28
38747793|NO|9999-12-31|SI|2015-11-26|NO|9999-12-31|2020-02-28
47574474|SI|2018-02-19|SI|2018-02-19|SI|2018-02-19|2020-02-28
45673766|SI|2019-07-05|SI|2017-06-12|SI|2019-07-05|2020-02-28
87019169|NO|9999-12-31|SI|2014-06-30|NO|9999-12-31|2020-02-28
25028158|SI|2019-07-31|SI|2019-07-31|SI|2019-07-31|2020-02-28
67000032|NO|9999-12-31|SI|2015-04-06|NO|9999-12-31|2020-02-28
92623196|SI|2018-09-20|SI|2018-09-20|SI|2018-09-12|2020-02-28
90147866|NO|9999-12-31|NO|9999-12-31|SI|2017-10-06|2020-02-28
58652405|SI|2019-07-08|SI|2019-07-08|SI|2019-07-08|2020-02-28
23323503|NO|9999-12-31|SI|2016-10-27|NO|9999-12-31|2020-02-28
55159304|NO|9999-12-31|SI|2008-08-19|NO|9999-12-31|2020-02-28
97893398|NO|9999-12-31|NO|9999-12-31|SI|2018-06-08|2020-02-28
21443783|SI|2019-08-12|SI|2019-08-12|SI|2019-08-12|2020-02-28
49078801|NO|9999-12-31|SI|2014-11-26|NO|9999-12-31|2020-02-28
96599789|NO|9999-12-31|SI|2016-01-28|NO|9999-12-31|2020-02-28
39808010|NO|9999-12-31|SI|2015-12-09|NO|9999-12-31|2020-02-28
24276671|SI|2017-04-02|SI|2017-04-02|SI|2014-09-22|2020-02-28
64138588|SI|2019-08-08|SI|2019-08-08|SI|2019-07-12|2020-02-28
97263235|SI|2019-06-17|SI|2019-06-17|SI|2017-06-03|2020-02-28
39907443|SI|2019-02-05|SI|2019-02-05|SI|2018-04-15|2020-02-28
06807599|SI|2018-07-05|SI|2018-07-05|SI|2018-07-02|2020-02-28
72763930|SI|2016-03-29|SI|2016-03-29|SI|2016-01-05|2020-02-28
01055649|NO|9999-12-31|SI|2014-08-06|NO|9999-12-31|2020-02-28
12421977|SI|2017-04-02|SI|2017-04-02|SI|2013-07-01|2020-02-28
29443733|NO|9999-12-31|SI|2016-11-21|NO|9999-12-31|2020-02-28
48946809|NO|9999-12-31|NO|9999-12-31|SI|2019-01-16|2020-02-28
55985908|SI|2018-02-26|SI|2018-02-26|SI|2017-09-04|2020-02-28
18183739|SI|2017-02-24|SI|2017-02-24|SI|2017-01-18|2020-02-28
05883335|SI|2018-11-09|SI|2018-11-09|SI|2018-11-09|2020-02-28
80354564|NO|9999-12-31|SI|2013-04-18|NO|9999-12-31|2020-02-28
35858049|NO|9999-12-31|SI|2015-11-02|NO|9999-12-31|2020-02-28
97608352|SI|2016-09-22|SI|2016-09-22|SI|2014-07-02|2020-02-28
65970867|SI|2019-11-08|SI|2019-11-08|SI|2019-11-08|2020-02-28
63605035|NO|9999-12-31|SI|2017-07-11|NO|9999-12-31|2020-02-28
84045878|SI|2019-09-20|SI|2019-09-20|SI|2019-09-20|2020-02-28
01083147|SI|2018-07-16|SI|2018-07-16|SI|2018-07-16|2020-02-28
62759930|SI|2017-04-02|SI|2017-04-02|SI|2013-06-08|2020-02-28
95995619|NO|9999-12-31|SI|2017-10-20|NO|9999-12-31|2020-02-28
63575218|NO|9999-12-31|SI|2018-10-15|NO|9999-12-31|2020-02-28
24097841|NO|9999-12-31|SI|2016-06-23|NO|9999-12-31|2020-02-28
65597838|NO|9999-12-31|SI|2018-02-03|NO|9999-12-31|2020-02-28
15657395|SI|2019-02-19|SI|2019-01-30|SI|2019-02-19|2020-02-28
53284749|NO|9999-12-31|SI|2016-11-06|NO|9999-12-31|2020-02-28
00150572|NO|9999-12-31|NO|9999-12-31|SI|2016-10-06|2020-02-28
69180412|NO|9999-12-31|SI|2013-12-11|NO|9999-12-31|2020-02-28
48504430|SI|2014-01-02|SI|2012-12-27|SI|2014-01-02|2020-02-28
27825739|SI|2017-09-26|SI|2017-09-26|SI|2017-09-26|2020-02-28
97319251|NO|9999-12-31|NO|9999-12-31|SI|2017-11-24|2020-02-28
95508823|SI|2017-02-24|SI|2017-02-24|SI|2017-02-24|2020-02-28
18930305|SI|2016-06-16|SI|2016-06-16|SI|2013-07-08|2020-02-28
77087235|NO|9999-12-31|NO|9999-12-31|SI|2018-11-12|2020-02-28
20479082|SI|2016-10-21|SI|2016-10-21|SI|2016-10-21|2020-02-28
60177636|SI|2019-06-12|SI|2019-06-12|SI|2016-10-01|2020-02-28
70494065|SI|2018-06-12|SI|2018-06-12|SI|2018-06-05|2020-02-28
55666441|NO|9999-12-31|SI|2015-12-08|NO|9999-12-31|2020-02-28
24049958|SI|2019-02-04|SI|2019-02-04|SI|2019-02-04|2020-02-28
21622419|NO|9999-12-31|SI|2017-09-11|NO|9999-12-31|2020-02-28
55392841|NO|9999-12-31|SI|2019-07-03|NO|9999-12-31|2020-02-28
47540976|NO|9999-12-31|NO|9999-12-31|SI|2017-10-18|2020-02-28
57289767|NO|9999-12-31|SI|2015-06-02|NO|9999-12-31|2020-02-28
72250475|NO|9999-12-31|SI|2016-05-09|NO|9999-12-31|2020-02-28
58693607|NO|9999-12-31|NO|9999-12-31|SI|2018-01-31|2020-02-28
90497726|SI|2017-05-05|SI|2017-05-05|SI|2014-03-27|2020-02-28
61157546|NO|9999-12-31|SI|2019-11-19|NO|9999-12-31|2020-02-28
59127053|NO|9999-12-31|SI|2015-08-07|NO|9999-12-31|2020-02-28
69168145|NO|9999-12-31|SI|2016-06-23|NO|9999-12-31|2020-02-28
26300446|SI|2019-04-29|SI|2019-04-29|SI|2019-04-29|2020-02-28
64256807|NO|9999-12-31|SI|2016-04-28|NO|9999-12-31|2020-02-28
36702902|NO|9999-12-31|SI|2018-04-09|NO|9999-12-31|2020-02-28
07356048|SI|2017-01-18|SI|2016-09-01|SI|2017-01-18|2020-02-28
43704678|NO|9999-12-31|SI|2016-02-06|NO|9999-12-31|2020-02-28
81693118|NO|9999-12-31|SI|2015-08-09|NO|9999-12-31|2020-02-28
09910881|NO|9999-12-31|NO|9999-12-31|SI|2016-11-09|2020-02-28
95707250|SI|2019-02-18|SI|2019-02-18|SI|2018-07-23|2020-02-28
77394299|SI|2018-11-14|SI|2018-11-14|SI|2018-11-14|2020-02-28
12160061|NO|9999-12-31|SI|2015-02-04|NO|9999-12-31|2020-02-28
69912599|NO|9999-12-31|SI|2012-08-15|NO|9999-12-31|2020-02-28
15126594|NO|9999-12-31|SI|2013-09-21|NO|9999-12-31|2020-02-28
77170795|NO|9999-12-31|NO|9999-12-31|SI|2019-09-27|2020-02-28
72218052|NO|9999-12-31|NO|9999-12-31|SI|2016-11-02|2020-02-28
24616394|SI|2018-05-14|SI|2018-01-04|SI|2018-05-14|2020-02-28
90187978|NO|9999-12-31|SI|2018-12-10|NO|9999-12-31|2020-02-28
14934268|SI|2019-07-23|SI|2019-07-23|SI|2019-07-23|2020-02-28
38441179|NO|9999-12-31|NO|9999-12-31|SI|2017-10-20|2020-02-28
83578935|NO|9999-12-31|NO|9999-12-31|SI|2017-02-21|2020-02-28
59672265|NO|9999-12-31|SI|2014-04-30|NO|9999-12-31|2020-02-28
55988263|NO|9999-12-31|SI|2012-05-09|NO|9999-12-31|2020-02-28
85893308|NO|9999-12-31|SI|2019-04-23|NO|9999-12-31|2020-02-28
49460235|SI|2019-06-17|SI|2019-06-17|SI|2019-06-17|2020-02-28
60138169|NO|9999-12-31|SI|2017-08-19|NO|9999-12-31|2020-02-28
37450805|NO|9999-12-31|SI|2011-08-05|NO|9999-12-31|2020-02-28
55277486|NO|9999-12-31|SI|2015-02-07|NO|9999-12-31|2020-02-28
53345652|NO|9999-12-31|SI|2014-12-12|NO|9999-12-31|2020-02-28
60492586|NO|9999-12-31|NO|9999-12-31|SI|2018-08-13|2020-02-28
70114373|NO|9999-12-31|NO|9999-12-31|SI|2019-09-27|2020-02-28
32977060|NO|9999-12-31|SI|2013-11-09|NO|9999-12-31|2020-02-28
14486609|NO|9999-12-31|SI|2014-08-20|NO|9999-12-31|2020-02-28
29067311|NO|9999-12-31|SI|2015-11-20|NO|9999-12-31|2020-02-28
37600549|SI|2019-01-15|SI|2019-01-15|SI|2018-12-06|2020-02-28
38246229|NO|9999-12-31|SI|2016-01-26|NO|9999-12-31|2020-02-28
66712944|NO|9999-12-31|SI|2016-04-11|NO|9999-12-31|2020-02-28
60490792|SI|2018-09-08|SI|2018-04-26|SI|2018-09-08|2020-02-28
73296875|SI|2017-04-02|SI|2017-04-02|SI|2016-05-09|2020-02-28
30018299|NO|9999-12-31|SI|2019-07-30|NO|9999-12-31|2020-02-28
73895045|NO|9999-12-31|SI|2018-08-09|NO|9999-12-31|2020-02-28
74426578|NO|9999-12-31|SI|2015-06-15|NO|9999-12-31|2020-02-28
39738068|NO|9999-12-31|SI|2013-09-11|NO|9999-12-31|2020-02-28
10604743|NO|9999-12-31|SI|2018-08-29|NO|9999-12-31|2020-02-28
79389942|SI|2019-02-25|SI|2019-02-25|SI|2017-05-23|2020-02-28
99031292|SI|2016-07-23|SI|2016-07-07|SI|2016-07-23|2020-02-28
17339958|NO|9999-12-31|SI|2018-06-21|NO|9999-12-31|2020-02-28
44000352|NO|9999-12-31|NO|9999-12-31|SI|2016-11-25|2020-02-28
77030519|SI|2019-11-28|SI|2019-11-28|SI|2019-11-28|2020-02-28
96324702|NO|9999-12-31|SI|2016-06-09|NO|9999-12-31|2020-02-28
11529471|NO|9999-12-31|NO|9999-12-31|SI|2016-12-12|2020-02-28
07537563|SI|2019-03-19|SI|2019-03-19|SI|2017-03-16|2020-02-28
75564649|NO|9999-12-31|SI|2015-02-26|NO|9999-12-31|2020-02-28
58705773|NO|9999-12-31|SI|2018-12-31|NO|9999-12-31|2020-02-28
47830002|SI|2019-04-12|SI|2019-04-12|SI|2019-04-12|2020-02-28
15306635|SI|2018-01-11|SI|2017-04-02|SI|2018-01-11|2020-02-28
72092610|NO|9999-12-31|SI|2019-02-05|NO|9999-12-31|2020-02-28
71134425|SI|2017-04-02|SI|2017-04-02|SI|2016-10-27|2020-02-28
37191251|NO|9999-12-31|SI|2015-11-26|NO|9999-12-31|2020-02-28
02196022|NO|9999-12-31|SI|2013-01-27|NO|9999-12-31|2020-02-28
00903237|SI|2018-04-10|SI|2018-04-10|SI|2018-02-13|2020-02-28
05637743|SI|2019-05-11|SI|2019-05-11|SI|2019-05-11|2020-02-28
05257632|SI|2019-03-16|SI|2014-12-31|SI|2019-03-16|2020-02-28
54108243|NO|9999-12-31|SI|2018-03-25|NO|9999-12-31|2020-02-28
04591992|NO|9999-12-31|SI|2018-03-08|NO|9999-12-31|2020-02-28
72479263|NO|9999-12-31|SI|2012-08-14|NO|9999-12-31|2020-02-28
55668413|SI|2018-09-12|SI|2018-09-12|SI|2018-09-12|2020-02-28
17211745|SI|2018-11-28|SI|2018-11-28|SI|2018-11-28|2020-02-28
88818622|NO|9999-12-31|SI|2013-11-05|NO|9999-12-31|2020-02-28
95453102|NO|9999-12-31|NO|9999-12-31|SI|2016-06-23|2020-02-28
79634850|NO|9999-12-31|SI|2016-06-14|NO|9999-12-31|2020-02-28
94527817|NO|9999-12-31|SI|2014-06-10|NO|9999-12-31|2020-02-28
62913128|NO|9999-12-31|NO|9999-12-31|SI|2013-10-09|2020-02-28
32600229|SI|2018-05-03|SI|2018-05-03|SI|2018-04-26|2020-02-28
19360760|NO|9999-12-31|SI|2018-12-29|NO|9999-12-31|2020-02-28
83978136|SI|2018-11-29|SI|2018-11-29|SI|2018-11-28|2020-02-28
83520633|NO|9999-12-31|SI|2014-03-12|NO|9999-12-31|2020-02-28
32145620|NO|9999-12-31|SI|2013-06-09|NO|9999-12-31|2020-02-28
76281074|NO|9999-12-31|SI|2014-12-19|NO|9999-12-31|2020-02-28
03300629|NO|9999-12-31|SI|2018-09-26|NO|9999-12-31|2020-02-28
10267688|SI|2018-07-30|SI|2018-07-30|SI|2018-06-26|2020-02-28
46760853|NO|9999-12-31|SI|2013-06-23|NO|9999-12-31|2020-02-28
29069291|NO|9999-12-31|SI|2017-10-02|NO|9999-12-31|2020-02-28
48815496|NO|9999-12-31|SI|2016-07-17|NO|9999-12-31|2020-02-28
39659114|NO|9999-12-31|SI|2012-04-27|NO|9999-12-31|2020-02-28
61814100|SI|2016-09-17|SI|2016-09-17|SI|2016-09-17|2020-02-28
63457169|NO|9999-12-31|SI|2016-06-20|NO|9999-12-31|2020-02-28
46086809|NO|9999-12-31|SI|2014-12-17|NO|9999-12-31|2020-02-28
63258576|SI|2016-08-11|SI|2016-08-11|SI|2016-08-11|2020-02-28
49179657|SI|2018-08-27|SI|2018-08-27|SI|2018-08-27|2020-02-28
43911684|NO|9999-12-31|SI|2013-10-11|NO|9999-12-31|2020-02-28
80050545|SI|2016-11-04|SI|2016-11-04|SI|2016-11-04|2020-02-28
21917930|NO|9999-12-31|SI|2017-02-18|NO|9999-12-31|2020-02-28
97478173|SI|2019-02-21|SI|2019-02-21|SI|2019-02-21|2020-02-28
26151947|NO|9999-12-31|SI|2015-12-11|NO|9999-12-31|2020-02-28
91791399|NO|9999-12-31|SI|2016-06-20|NO|9999-12-31|2020-02-28
79561689|NO|9999-12-31|SI|2019-10-01|NO|9999-12-31|2020-02-28
46484387|SI|2016-12-05|SI|2016-10-23|SI|2016-12-05|2020-02-28
06978920|SI|2020-01-17|SI|2020-01-17|SI|2019-05-02|2020-02-28
26629332|SI|2019-03-21|SI|2019-03-21|SI|2018-03-31|2020-02-28
42017299|NO|9999-12-31|SI|2014-09-03|NO|9999-12-31|2020-02-28
47415816|SI|2017-03-30|SI|2017-03-30|SI|2017-03-30|2020-02-28
82255164|SI|2018-06-04|SI|2018-06-04|SI|2018-06-04|2020-02-28
99500141|SI|2019-11-13|SI|2018-10-12|SI|2019-11-13|2020-02-28
97483789|NO|9999-12-31|SI|2014-05-10|NO|9999-12-31|2020-02-28
06790397|NO|9999-12-31|SI|2014-05-05|NO|9999-12-31|2020-02-28
17327180|SI|2017-11-29|SI|2017-11-29|SI|2016-07-19|2020-02-28
16035043|NO|9999-12-31|SI|2015-07-31|NO|9999-12-31|2020-02-28
13723831|SI|2019-05-27|SI|2019-05-27|SI|2019-04-16|2020-02-28
51382599|SI|2017-11-01|SI|2017-11-01|SI|2017-09-21|2020-02-28
94455035|NO|9999-12-31|SI|2016-02-16|NO|9999-12-31|2020-02-28
43160816|NO|9999-12-31|SI|2017-08-01|NO|9999-12-31|2020-02-28
03237549|NO|9999-12-31|SI|2013-10-05|NO|9999-12-31|2020-02-28
11616366|NO|9999-12-31|SI|2012-05-08|NO|9999-12-31|2020-02-28
06348020|SI|2018-11-21|SI|2018-11-21|SI|2018-11-21|2020-02-28
38584042|SI|2019-04-16|SI|2019-04-16|SI|2019-04-16|2020-02-28
87507369|NO|9999-12-31|SI|2014-09-30|NO|9999-12-31|2020-02-28
30745275|NO|9999-12-31|NO|9999-12-31|SI|2016-05-11|2020-02-28
83899246|SI|2019-05-31|SI|2019-05-31|SI|2019-05-30|2020-02-28
90545682|NO|9999-12-31|SI|2012-12-24|NO|9999-12-31|2020-02-28
17892709|NO|9999-12-31|NO|9999-12-31|SI|2016-09-27|2020-02-28
99102024|SI|2017-01-11|SI|2017-01-11|SI|2017-01-11|2020-02-28
58550897|NO|9999-12-31|SI|2014-05-24|NO|9999-12-31|2020-02-28
74962834|NO|9999-12-31|SI|2014-07-21|NO|9999-12-31|2020-02-28
05431124|NO|9999-12-31|NO|9999-12-31|SI|2018-04-24|2020-02-28
95234673|NO|9999-12-31|NO|9999-12-31|SI|2018-10-29|2020-02-28
